Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,16.0,13508,2.636,0,0,0,3,(2) (0.5 + 0.5√-43) (14.5 + 1.5√-43),1,-50 + 16√-43,50 - 16√-43
50.0,16.0,13508,0.506,0,1,0,3,(2) (0.5 - 0.5√-43) (14.5 - 1.5√-43),0,50 + 16√-43,-50 - 16√-43
-49.0,16.0,13409,2.627,0,1,0,3,(0.5 - 0.5√-43) (3.5 + 0.5√-43) (6.5 - 0.5√-43),1,-49 + 16√-43,49 - 16√-43
49.0,16.0,13409,0.515,0,0,0,3,(0.5 + 0.5√-43) (3.5 - 0.5√-43) (6.5 + 0.5√-43),0,49 + 16√-43,-49 - 16√-43
-48.0,16.0,13312,2.618,0,1,4,2,(2)⁵ (1.5 - 0.5√-43),1,-48 + 16√-43,48 - 16√-43
48.0,16.0,13312,0.524,0,0,4,2,(2)⁵ (1.5 + 0.5√-43),0,48 + 16√-43,-48 - 16√-43
-47.0,16.0,13217,2.609,1,0,0,1,'(47 - 16√-43),1,-47 + 16√-43,47 - 16√-43
47.0,16.0,13217,0.533,1,0,0,1,'(47 + 16√-43),0,47 + 16√-43,-47 - 16√-43
-46.0,16.0,13124,2.6,0,1,0,3,(2) (2.5 - 0.5√-43) (13.5 - 0.5√-43),1,-46 + 16√-43,46 - 16√-43
46.0,16.0,13124,0.542,0,0,0,3,(2) (2.5 + 0.5√-43) (13.5 + 0.5√-43),0,46 + 16√-43,-46 - 16√-43
-45.0,16.0,13033,2.59,1,0,0,1,'(45 - 16√-43),1,-45 + 16√-43,45 - 16√-43
45.0,16.0,13033,0.552,1,0,0,1,'(45 + 16√-43),0,45 + 16√-43,-45 - 16√-43
-44.0,16.0,12944,2.58,0,1,1,2,(2)² (11 - 4√-43),1,-44 + 16√-43,44 - 16√-43
44.0,16.0,12944,0.562,0,0,1,2,(2)² (11 + 4√-43),0,44 + 16√-43,-44 - 16√-43
-43.0,16.0,12857,2.57,0,0,0,3,(1.5 + 0.5√-43) (3.5 - 0.5√-43) (√-43),1,-43 + 16√-43,43 - 16√-43
43.0,16.0,12857,0.572,0,0,0,3,(1.5 - 0.5√-43) (3.5 + 0.5√-43) (√-43),0,43 + 16√-43,-43 - 16√-43
-42.0,16.0,12772,2.559,0,0,0,3,(2) (4.5 + 0.5√-43) (2.5 + 1.5√-43),1,-42 + 16√-43,42 - 16√-43
42.0,16.0,12772,0.583,0,1,0,3,(2) (4.5 - 0.5√-43) (2.5 - 1.5√-43),0,42 + 16√-43,-42 - 16√-43
-49.5,15.5,12781,2.645,1,0,0,1,'(49.5 - 15.5√-43),1,-49.5 + 15.5√-43,49.5 - 15.5√-43
49.5,15.5,12781,0.497,1,0,0,1,'(49.5 + 15.5√-43),0,49.5 + 15.5√-43,-49.5 - 15.5√-43
-41.0,16.0,12689,2.548,1,0,0,1,'(41 - 16√-43),1,-41 + 16√-43,41 - 16√-43
41.0,16.0,12689,0.594,1,0,0,1,'(41 + 16√-43),0,41 + 16√-43,-41 - 16√-43
-40.0,16.0,12608,2.536,0,1,2,2,(2)³ (5 - 2√-43),1,-40 + 16√-43,40 - 16√-43
40.0,16.0,12608,0.606,0,0,2,2,(2)³ (5 + 2√-43),0,40 + 16√-43,-40 - 16√-43
-48.5,15.5,12683,2.636,0,1,0,2,(0.5 - 0.5√-43) (32.5 + 1.5√-43),1,-48.5 + 15.5√-43,48.5 - 15.5√-43
