Re,Im,Norm,Agr,Prime,Text0,Text1,Text2,Text3,Factor,Order,Assoc
0,0,0,0,0,0,,,,(0),1,0
1,0,1,0,0,1,i,-1,-i,(1),1,0
1,1,2,0.7853981634,1,1 + i,-1 + i,-1 - i,1 - i,(1 + i),2,0
1,2,5,1.107148718,1,1 + 2i,-2 + i,-1 - 2i,2 - i,(1 + 2i),5,0
1,3,10,1.249045772,0,1 + 3i,-3 + i,-1 - 3i,3 - i,(1 + i) (2 + i),2,0
1,4,17,1.325817664,1,1 + 4i,-4 + i,-1 - 4i,4 - i,(1 + 4i),17,0
1,5,26,1.373400767,0,1 + 5i,-5 + i,-1 - 5i,5 - i,(1 + i) (3 + 2i),2,0
1,6,37,1.405647649,1,1 + 6i,-6 + i,-1 - 6i,6 - i,(1 + 6i),37,0
1,7,50,1.428899272,0,1 + 7i,-7 + i,-1 - 7i,7 - i,(1 + i) (1 + 2i)²,2,3
1,8,65,1.446441332,0,1 + 8i,-8 + i,-1 - 8i,8 - i,(2 + i) (2 + 3i),5,0
1,9,82,1.460139106,0,1 + 9i,-9 + i,-1 - 9i,9 - i,(1 + i) (5 + 4i),2,0
1,10,101,1.471127674,1,1 + 10i,-10 + i,-1 - 10i,10 - i,(1 + 10i),101,0
1,11,122,1.48013644,0,1 + 11i,-11 + i,-1 - 11i,11 - i,(1 + i) (6 + 5i),2,0
1,12,145,1.487655095,0,1 + 12i,-12 + i,-1 - 12i,12 - i,(1 + 2i) (5 + 2i),5,0
1,13,170,1.494024436,0,1 + 13i,-13 + i,-1 - 13i,13 - i,(1 + i) (2 + i) (4 + i),2,0
1,14,197,1.499488862,1,1 + 14i,-14 + i,-1 - 14i,14 - i,(1 + 14i),197,0
1,15,226,1.504228163,0,1 + 15i,-15 + i,-1 - 15i,15 - i,(1 + i) (8 + 7i),2,0
1,16,257,1.508377517,1,1 + 16i,-16 + i,-1 - 16i,16 - i,(1 + 16i),257,0
1,17,290,1.512040504,0,1 + 17i,-17 + i,-1 - 17i,17 - i,(1 + i) (1 + 2i) (2 + 5i),2,3
1,18,325,1.515297822,0,1 + 18i,-18 + i,-1 - 18i,18 - i,(2 + i)² (3 + 2i),5,0
1,19,362,1.518213265,0,1 + 19i,-19 + i,-1 - 19i,19 - i,(1 + i) (10 + 9i),2,0
1,20,401,1.520837931,1,1 + 20i,-20 + i,-1 - 20i,20 - i,(1 + 20i),401,0
1,21,442,1.523213224,0,1 + 21i,-21 + i,-1 - 21i,21 - i,(1 + i) (2 + 3i) (1 + 4i),2,3
1,22,485,1.525373047,0,1 + 22i,-22 + i,-1 - 22i,22 - i,(1 + 2i) (9 + 4i),5,0
1,23,530,1.527345431,0,1 + 23i,-23 + i,-1 - 23i,23 - i,(1 + i) (2 + i) (7 + 2i),2,0
1,24,577,1.529153748,1,1 + 24i,-24 + i,-1 - 24i,24 - i,(1 + 24i),577,0
1,25,626,1.53081764,0,1 + 25i,-25 + i,-1 - 25i,25 - i,(1 + i) (13 + 12i),2,0
1,26,677,1.532353737,1,1 + 26i,-26 + i,-1 - 26i,26 - i,(1 + 26i),677,0
1,27,730,1.533776211,0,1 + 27i,-27 + i,-1 - 27i,27 - i,(1 + i) (1 + 2i) (3 + 8i),2,3
1,28,785,1.535097214,0,1 + 28i,-28 + i,-1 - 28i,28 - i,(2 + i) (6 + 11i),5,0
1,29,842,1.536327226,0,1 + 29i,-29 + i,-1 - 29i,29 - i,(1 + i) (15 + 14i),2,0
1,30,901,1.537475331,0,1 + 30i,-30 + i,-1 - 30i,30 - i,(4 + i) (2 + 7i),17,0
1,31,962,1.538549444,0,1 + 31i,-31 + i,-1 - 31i,31 - i,(1 + i) (3 + 2i) (6 + i),2,0
1,32,1025,1.539556493,0,1 + 32i,-32 + i,-1 - 32i,32 - i,(1 + 2i)² (4 + 5i),5,3
1,33,1090,1.540502567,0,1 + 33i,-33 + i,-1 - 33i,33 - i,(1 + i) (2 + i) (10 + 3i),2,0
1,34,1157,1.541393039,0,1 + 34i,-34 + i,-1 - 34i,34 - i,(2 + 3i) (8 + 5i),13,0
1,35,1226,1.542232669,0,1 + 35i,-35 + i,-1 - 35i,35 - i,(1 + i) (18 + 17i),2,0
1,36,1297,1.54302569,1,1 + 36i,-36 + i,-1 - 36i,36 - i,(1 + 36i),1297,0
1,37,1370,1.543775878,0,1 + 37i,-37 + i,-1 - 37i,37 - i,(1 + i) (1 + 2i) (4 + 11i),2,3
1,38,1445,1.54448661,0,1 + 38i,-38 + i,-1 - 38i,38 - i,(2 + i) (1 + 4i)²,5,3
1,39,1522,1.545160918,0,1 + 39i,-39 + i,-1 - 39i,39 - i,(1 + i) (20 + 19i),2,0
1,40,1601,1.545801533,1,1 + 40i,-40 + i,-1 - 40i,40 - i,(1 + 40i),1601,0
1,41,1682,1.546410918,0,1 + 41i,-41 + i,-1 - 41i,41 - i,(1 + i) (5 + 2i)²,2,0
1,42,1765,1.546991301,0,1 + 42i,-42 + i,-1 - 42i,42 - i,(1 + 2i) (17 + 8i),5,0
1,43,1850,1.547544704,0,1 + 43i,-43 + i,-1 - 43i,43 - i,(1 + i) (2 + i)² (1 + 6i),2,3
1,44,1937,1.548072966,0,1 + 44i,-44 + i,-1 - 44i,44 - i,(3 + 2i) (7 + 10i),13,0
1,45,2026,1.548577761,0,1 + 45i,-45 + i,-1 - 45i,45 - i,(1 + i) (23 + 22i),2,0
1,46,2117,1.54906062,0,1 + 46i,-46 + i,-1 - 46i,46 - i,(2 + 5i) (8 + 3i),29,0
1,47,2210,1.549522941,0,1 + 47i,-47 + i,-1 - 47i,47 - i,(1 + i) (1 + 2i) (2 + 3i) (4 + i),2,3
1,48,2305,1.549966007,0,1 + 48i,-48 + i,-1 - 48i,48 - i,(2 + i) (10 + 19i),5,0
1,49,2402,1.550390996,0,1 + 49i,-49 + i,-1 - 49i,49 - i,(1 + i) (25 + 24i),2,0
1,50,2501,1.550798993,0,1 + 50i,-50 + i,-1 - 50i,50 - i,(5 + 4i) (5 + 6i),41,0
2,0,4,0,0,2,2i,-2,-2i,(1 + i)²,2,3
2,1,5,0.463647609,1,2 + i,-1 + 2i,-2 - i,1 - 2i,(2 + i),5,0
2,2,8,0.7853981634,0,2 + 2i,-2 + 2i,-2 - 2i,2 - 2i,(1 + i)³,2,3
2,3,13,0.9827937232,1,2 + 3i,-3 + 2i,-2 - 3i,3 - 2i,(2 + 3i),13,0
2,4,20,1.107148718,0,2 + 4i,-4 + 2i,-2 - 4i,4 - 2i,(1 + i)² (1 + 2i),2,3
2,5,29,1.19028995,1,2 + 5i,-5 + 2i,-2 - 5i,5 - 2i,(2 + 5i),29,0
2,6,40,1.249045772,0,2 + 6i,-6 + 2i,-2 - 6i,6 - 2i,(1 + i)³ (2 + i),2,3
2,7,53,1.292496668,1,2 + 7i,-7 + 2i,-2 - 7i,7 - 2i,(2 + 7i),53,0
2,8,68,1.325817664,0,2 + 8i,-8 + 2i,-2 - 8i,8 - 2i,(1 + i)² (1 + 4i),2,3
2,9,85,1.352127381,0,2 + 9i,-9 + 2i,-2 - 9i,9 - 2i,(1 + 2i) (4 + i),5,0
2,10,104,1.373400767,0,2 + 10i,-10 + 2i,-2 - 10i,10 - 2i,(1 + i)³ (3 + 2i),2,3
2,11,125,1.390942827,0,2 + 11i,-11 + 2i,-2 - 11i,11 - 2i,(2 + i)³,5,0
2,12,148,1.405647649,0,2 + 12i,-12 + 2i,-2 - 12i,12 - 2i,(1 + i)² (1 + 6i),2,3
2,13,173,1.418146998,1,2 + 13i,-13 + 2i,-2 - 13i,13 - 2i,(2 + 13i),173,0
2,14,200,1.428899272,0,2 + 14i,-14 + 2i,-2 - 14i,14 - 2i,(1 + i)³ (1 + 2i)²,2,2
2,15,229,1.438244794,1,2 + 15i,-15 + 2i,-2 - 15i,15 - 2i,(2 + 15i),229,0
2,16,260,1.446441332,0,2 + 16i,-16 + 2i,-2 - 16i,16 - 2i,(1 + i)² (2 + i) (2 + 3i),2,3
2,17,293,1.453687582,1,2 + 17i,-17 + 2i,-2 - 17i,17 - 2i,(2 + 17i),293,0
2,18,328,1.460139106,0,2 + 18i,-18 + 2i,-2 - 18i,18 - 2i,(1 + i)³ (5 + 4i),2,3
2,19,365,1.465919388,0,2 + 19i,-19 + 2i,-2 - 19i,19 - 2i,(1 + 2i) (8 + 3i),5,0
2,20,404,1.471127674,0,2 + 20i,-20 + 2i,-2 - 20i,20 - 2i,(1 + i)² (1 + 10i),2,3
2,21,445,1.47584462,0,2 + 21i,-21 + 2i,-2 - 21i,21 - 2i,(2 + i) (5 + 8i),5,0
2,22,488,1.48013644,0,2 + 22i,-22 + 2i,-2 - 22i,22 - 2i,(1 + i)³ (6 + 5i),2,3
2,23,533,1.484057988,0,2 + 23i,-23 + 2i,-2 - 23i,23 - 2i,(3 + 2i) (4 + 5i),13,0
2,24,580,1.487655095,0,2 + 24i,-24 + 2i,-2 - 24i,24 - 2i,(1 + i)² (1 + 2i) (5 + 2i),2,3
2,25,629,1.490966341,0,2 + 25i,-25 + 2i,-2 - 25i,25 - 2i,(1 + 4i) (6 + i),17,0
2,26,680,1.494024436,0,2 + 26i,-26 + 2i,-2 - 26i,26 - 2i,(1 + i)³ (2 + i) (4 + i),2,3
2,27,733,1.496857289,1,2 + 27i,-27 + 2i,-2 - 27i,27 - 2i,(2 + 27i),733,0
2,28,788,1.499488862,0,2 + 28i,-28 + 2i,-2 - 28i,28 - 2i,(1 + i)² (1 + 14i),2,3
2,29,845,1.501939837,0,2 + 29i,-29 + 2i,-2 - 29i,29 - 2i,(1 + 2i) (2 + 3i)²,5,3
2,30,904,1.504228163,0,2 + 30i,-30 + 2i,-2 - 30i,30 - 2i,(1 + i)³ (8 + 7i),2,3
2,31,965,1.506369487,0,2 + 31i,-31 + 2i,-2 - 31i,31 - 2i,(2 + i) (7 + 12i),5,0
2,32,1028,1.508377517,0,2 + 32i,-32 + 2i,-2 - 32i,32 - 2i,(1 + i)² (1 + 16i),2,3
2,33,1093,1.510264307,1,2 + 33i,-33 + 2i,-2 - 33i,33 - 2i,(2 + 33i),1093,0
2,34,1160,1.512040504,0,2 + 34i,-34 + 2i,-2 - 34i,34 - 2i,(1 + i)³ (1 + 2i) (2 + 5i),2,2
2,35,1229,1.513715544,1,2 + 35i,-35 + 2i,-2 - 35i,35 - 2i,(2 + 35i),1229,0
2,36,1300,1.515297822,0,2 + 36i,-36 + 2i,-2 - 36i,36 - 2i,(1 + i)² (2 + i)² (3 + 2i),2,3
2,37,1373,1.516794826,1,2 + 37i,-37 + 2i,-2 - 37i,37 - 2i,(2 + 37i),1373,0
2,38,1448,1.518213265,0,2 + 38i,-38 + 2i,-2 - 38i,38 - 2i,(1 + i)³ (10 + 9i),2,3
2,39,1525,1.519559159,0,2 + 39i,-39 + 2i,-2 - 39i,39 - 2i,(1 + 2i)² (5 + 6i),5,3
2,40,1604,1.520837931,0,2 + 40i,-40 + 2i,-2 - 40i,40 - 2i,(1 + i)² (1 + 20i),2,3
2,41,1685,1.522054475,0,2 + 41i,-41 + 2i,-2 - 41i,41 - 2i,(2 + i) (9 + 16i),5,0
2,42,1768,1.523213224,0,2 + 42i,-42 + 2i,-2 - 42i,42 - 2i,(1 + i)³ (2 + 3i) (1 + 4i),2,2
2,43,1853,1.524318195,0,2 + 43i,-43 + 2i,-2 - 43i,43 - 2i,(4 + i) (3 + 10i),17,0
2,44,1940,1.525373047,0,2 + 44i,-44 + 2i,-2 - 44i,44 - 2i,(1 + i)² (1 + 2i) (9 + 4i),2,3
2,45,2029,1.526381112,1,2 + 45i,-45 + 2i,-2 - 45i,45 - 2i,(2 + 45i),2029,0
2,46,2120,1.527345431,0,2 + 46i,-46 + 2i,-2 - 46i,46 - 2i,(1 + i)³ (2 + i) (7 + 2i),2,3
2,47,2213,1.528268792,1,2 + 47i,-47 + 2i,-2 - 47i,47 - 2i,(2 + 47i),2213,0
2,48,2308,1.529153748,0,2 + 48i,-48 + 2i,-2 - 48i,48 - 2i,(1 + i)² (1 + 24i),2,3
2,49,2405,1.530002644,0,2 + 49i,-49 + 2i,-2 - 49i,49 - 2i,(1 + 2i) (3 + 2i) (1 + 6i),5,3
2,50,2504,1.53081764,0,2 + 50i,-50 + 2i,-2 - 50i,50 - 2i,(1 + i)³ (13 + 12i),2,3
3,0,9,0,1,3,3i,-3,-3i,(3),9,0
3,1,10,0.3217505544,0,3 + i,-1 + 3i,-3 - i,1 - 3i,(1 + i) (1 + 2i),2,3
3,2,13,0.5880026035,1,3 + 2i,-2 + 3i,-3 - 2i,2 - 3i,(3 + 2i),13,0
3,3,18,0.7853981634,0,3 + 3i,-3 + 3i,-3 - 3i,3 - 3i,(1 + i) (3),2,0
3,4,25,0.927295218,0,3 + 4i,-4 + 3i,-3 - 4i,4 - 3i,(2 + i)²,5,0
