Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,16.0,19652,2.636,0,0,2,2,(2) (0.5 - 0.5√-67)³,1,-50 + 16√-67,50 - 16√-67
50.0,16.0,19652,0.506,0,1,2,2,(2) (0.5 + 0.5√-67)³,0,50 + 16√-67,-50 - 16√-67
-49.0,16.0,19553,2.627,1,0,0,1,'(49 - 16√-67),1,-49 + 16√-67,49 - 16√-67
49.0,16.0,19553,0.515,1,0,0,1,'(49 + 16√-67),0,49 + 16√-67,-49 - 16√-67
-48.0,16.0,19456,2.618,0,1,4,2,(2)⁵ (1.5 - 0.5√-67),1,-48 + 16√-67,48 - 16√-67
48.0,16.0,19456,0.524,0,0,4,2,(2)⁵ (1.5 + 0.5√-67),0,48 + 16√-67,-48 - 16√-67
-47.0,16.0,19361,2.609,0,0,0,2,(1.5 + 0.5√-67) (24.5 + 2.5√-67),1,-47 + 16√-67,47 - 16√-67
47.0,16.0,19361,0.533,0,1,0,2,(1.5 - 0.5√-67) (24.5 - 2.5√-67),0,47 + 16√-67,-47 - 16√-67
-46.0,16.0,19268,2.6,0,1,0,2,(2) (23 - 8√-67),1,-46 + 16√-67,46 - 16√-67
46.0,16.0,19268,0.542,0,0,0,2,(2) (23 + 8√-67),0,46 + 16√-67,-46 - 16√-67
-45.0,16.0,19177,2.59,0,0,0,2,(10.5 + 0.5√-67) (0.5 + 1.5√-67),1,-45 + 16√-67,45 - 16√-67
45.0,16.0,19177,0.552,0,1,0,2,(10.5 - 0.5√-67) (0.5 - 1.5√-67),0,45 + 16√-67,-45 - 16√-67
-44.0,16.0,19088,2.58,0,1,1,2,(2)² (11 - 4√-67),1,-44 + 16√-67,44 - 16√-67
44.0,16.0,19088,0.562,0,0,1,2,(2)² (11 + 4√-67),0,44 + 16√-67,-44 - 16√-67
-43.0,16.0,19001,2.57,1,0,0,1,'(43 - 16√-67),1,-43 + 16√-67,43 - 16√-67
43.0,16.0,19001,0.572,1,0,0,1,'(43 + 16√-67),0,43 + 16√-67,-43 - 16√-67
-42.0,16.0,18916,2.559,0,1,0,2,(2) (21 - 8√-67),1,-42 + 16√-67,42 - 16√-67
42.0,16.0,18916,0.583,0,0,0,2,(2) (21 + 8√-67),0,42 + 16√-67,-42 - 16√-67
-41.0,16.0,18833,2.548,0,0,0,2,(4.5 + 0.5√-67) (9.5 + 2.5√-67),1,-41 + 16√-67,41 - 16√-67
41.0,16.0,18833,0.594,0,1,0,2,(4.5 - 0.5√-67) (9.5 - 2.5√-67),0,41 + 16√-67,-41 - 16√-67
-40.0,16.0,18752,2.536,0,1,2,2,(2)³ (5 - 2√-67),1,-40 + 16√-67,40 - 16√-67
40.0,16.0,18752,0.606,0,0,2,2,(2)³ (5 + 2√-67),0,40 + 16√-67,-40 - 16√-67
-39.0,16.0,18673,2.524,0,0,0,2,(2 + √-67) (14 + √-67),1,-39 + 16√-67,39 - 16√-67
39.0,16.0,18673,0.618,0,1,0,2,(2 - √-67) (14 - √-67),0,39 + 16√-67,-39 - 16√-67
-38.0,16.0,18596,2.512,0,1,0,2,(2) (19 - 8√-67),1,-38 + 16√-67,38 - 16√-67
38.0,16.0,18596,0.63,0,0,0,2,(2) (19 + 8√-67),0,38 + 16√-67,-38 - 16√-67
-37.0,16.0,18521,2.499,1,0,0,1,'(37 - 16√-67),1,-37 + 16√-67,37 - 16√-67
37.0,16.0,18521,0.643,1,0,0,1,'(37 + 16√-67),0,37 + 16√-67,-37 - 16√-67
-49.5,15.5,18547,2.645,0,1,0,2,(0.5 - 0.5√-67) (32 + √-67),1,-49.5 + 15.5√-67,49.5 - 15.5√-67
49.5,15.5,18547,0.497,0,0,0,2,(0.5 + 0.5√-67) (32 - √-67),0,49.5 + 15.5√-67,-49.5 - 15.5√-67
-36.0,16.0,18448,2.486,0,1,1,2,(2)² (9 - 4√-67),1,-36 + 16√-67,36 - 16√-67
36.0,16.0,18448,0.656,0,0,1,2,(2)² (9 + 4√-67),0,36 + 16√-67,-36 - 16√-67
-35.0,16.0,18377,2.472,0,0,0,3,(0.5 + 0.5√-67) (2.5 + 0.5√-67) (5.5 - 0.5√-67),1,-35 + 16√-67,35 - 16√-67
35.0,16.0,18377,0.67,0,1,0,3,(0.5 - 0.5√-67) (2.5 - 0.5√-67) (5.5 + 0.5√-67),0,35 + 16√-67,-35 - 16√-67
-34.0,16.0,18308,2.458,0,1,0,3,(2) (2.5 - 0.5√-67) (13.5 - 0.5√-67),1,-34 + 16√-67,34 - 16√-67
34.0,16.0,18308,0.684,0,0,0,3,(2) (2.5 + 0.5√-67) (13.5 + 0.5√-67),0,34 + 16√-67,-34 - 16√-67
-33.0,16.0,18241,2.443,0,1,0,3,(0.5 - 0.5√-67) (3.5 + 0.5√-67) (4.5 - 0.5√-67),1,-33 + 16√-67,33 - 16√-67
33.0,16.0,18241,0.699,0,0,0,3,(0.5 + 0.5√-67) (3.5 - 0.5√-67) (4.5 + 0.5√-67),0,33 + 16√-67,-33 - 16√-67
-48.5,15.5,18449,2.636,0,0,0,2,(1.5 + 0.5√-67) (23.5 + 2.5√-67),1,-48.5 + 15.5√-67,48.5 - 15.5√-67
48.5,15.5,18449,0.506,0,1,0,2,(1.5 - 0.5√-67) (23.5 - 2.5√-67),0,48.5 + 15.5√-67,-48.5 - 15.5√-67
-47.5,15.5,18353,2.628,1,0,0,1,'(47.5 - 15.5√-67),1,-47.5 + 15.5√-67,47.5 - 15.5√-67
47.5,15.5,18353,0.514,1,0,0,1,'(47.5 + 15.5√-67),0,47.5 + 15.5√-67,-47.5 - 15.5√-67
-46.5,15.5,18259,2.618,0,1,0,2,(1.5 - 0.5√-67) (31),1,-46.5 + 15.5√-67,46.5 - 15.5√-67
46.5,15.5,18259,0.524,0,0,0,2,(1.5 + 0.5√-67) (31),0,46.5 + 15.5√-67,-46.5 - 15.5√-67
-32.0,16.0,18176,2.428,0,1,3,2,(2)⁴ (2 - √-67),1,-32 + 16√-67,32 - 16√-67
32.0,16.0,18176,0.714,0,0,3,2,(2)⁴ (2 + √-67),0,32 + 16√-67,-32 - 16√-67
-31.0,16.0,18113,2.413,0,1,0,2,(6.5 - 0.5√-67) (12.5 - 1.5√-67),1,-31 + 16√-67,31 - 16√-67
31.0,16.0,18113,0.729,0,0,0,2,(6.5 + 0.5√-67) (12.5 + 1.5√-67),0,31 + 16√-67,-31 - 16√-67
-30.0,16.0,18052,2.396,0,1,0,2,(2) (15 - 8√-67),1,-30 + 16√-67,30 - 16√-67
30.0,16.0,18052,0.746,0,0,0,2,(2) (15 + 8√-67),0,30 + 16√-67,-30 - 16√-67
-29.0,16.0,17993,2.379,0,1,0,2,(1.5 - 0.5√-67) (30.5 - 0.5√-67),1,-29 + 16√-67,29 - 16√-67
29.0,16.0,17993,0.763,0,0,0,2,(1.5 + 0.5√-67) (30.5 + 0.5√-67),0,29 + 16√-67,-29 - 16√-67
-45.5,15.5,18167,2.609,0,0,0,2,(4.5 + 0.5√-67) (8.5 + 2.5√-67),1,-45.5 + 15.5√-67,45.5 - 15.5√-67
45.5,15.5,18167,0.533,0,1,0,2,(4.5 - 0.5√-67) (8.5 - 2.5√-67),0,45.5 + 15.5√-67,-45.5 - 15.5√-67
-44.5,15.5,18077,2.599,1,0,0,1,'(44.5 - 15.5√-67),1,-44.5 + 15.5√-67,44.5 - 15.5√-67
44.5,15.5,18077,0.543,1,0,0,1,'(44.5 + 15.5√-67),0,44.5 + 15.5√-67,-44.5 - 15.5√-67
-43.5,15.5,17989,2.589,1,0,0,1,'(43.5 - 15.5√-67),1,-43.5 + 15.5√-67,43.5 - 15.5√-67
43.5,15.5,17989,0.553,1,0,0,1,'(43.5 + 15.5√-67),0,43.5 + 15.5√-67,-43.5 - 15.5√-67
-28.0,16.0,17936,2.362,0,0,1,3,(2)² (1.5 + 0.5√-67) (6.5 + 0.5√-67),1,-28 + 16√-67,28 - 16√-67
28.0,16.0,17936,0.78,0,1,1,3,(2)² (1.5 - 0.5√-67) (6.5 - 0.5√-67),0,28 + 16√-67,-28 - 16√-67
-27.0,16.0,17881,2.344,1,0,0,1,'(27 - 16√-67),1,-27 + 16√-67,27 - 16√-67
27.0,16.0,17881,0.798,1,0,0,1,'(27 + 16√-67),0,27 + 16√-67,-27 - 16√-67
-26.0,16.0,17828,2.325,0,1,0,2,(2) (13 - 8√-67),1,-26 + 16√-67,26 - 16√-67
26.0,16.0,17828,0.817,0,0,0,2,(2) (13 + 8√-67),0,26 + 16√-67,-26 - 16√-67
-25.0,16.0,17777,2.305,0,1,0,2,(3.5 - 0.5√-67) (21.5 - 1.5√-67),1,-25 + 16√-67,25 - 16√-67
25.0,16.0,17777,0.837,0,0,0,2,(3.5 + 0.5√-67) (21.5 + 1.5√-67),0,25 + 16√-67,-25 - 16√-67
-24.0,16.0,17728,2.285,0,1,2,2,(2)³ (3 - 2√-67),1,-24 + 16√-67,24 - 16√-67
24.0,16.0,17728,0.857,0,0,2,2,(2)³ (3 + 2√-67),0,24 + 16√-67,-24 - 16√-67
-42.5,15.5,17903,2.579,1,0,0,1,'(42.5 - 15.5√-67),1,-42.5 + 15.5√-67,42.5 - 15.5√-67
42.5,15.5,17903,0.563,1,0,0,1,'(42.5 + 15.5√-67),0,42.5 + 15.5√-67,-42.5 - 15.5√-67
-41.5,15.5,17819,2.568,0,1,0,2,(6 - √-67) (12.5 - 0.5√-67),1,-41.5 + 15.5√-67,41.5 - 15.5√-67
41.5,15.5,17819,0.574,0,0,0,2,(6 + √-67) (12.5 + 0.5√-67),0,41.5 + 15.5√-67,-41.5 - 15.5√-67
-40.5,15.5,17737,2.557,1,0,0,1,'(40.5 - 15.5√-67),1,-40.5 + 15.5√-67,40.5 - 15.5√-67
40.5,15.5,17737,0.585,1,0,0,1,'(40.5 + 15.5√-67),0,40.5 + 15.5√-67,-40.5 - 15.5√-67
-23.0,16.0,17681,2.264,1,0,0,1,'(23 - 16√-67),1,-23 + 16√-67,23 - 16√-67
23.0,16.0,17681,0.878,1,0,0,1,'(23 + 16√-67),0,23 + 16√-67,-23 - 16√-67
-22.0,16.0,17636,2.242,0,1,0,2,(2) (11 - 8√-67),1,-22 + 16√-67,22 - 16√-67
22.0,16.0,17636,0.9,0,0,0,2,(2) (11 + 8√-67),0,22 + 16√-67,-22 - 16√-67
-21.0,16.0,17593,2.22,0,1,0,2,(7.5 - 0.5√-67) (9.5 - 1.5√-67),1,-21 + 16√-67,21 - 16√-67
21.0,16.0,17593,0.922,0,0,0,2,(7.5 + 0.5√-67) (9.5 + 1.5√-67),0,21 + 16√-67,-21 - 16√-67
-20.0,16.0,17552,2.196,0,1,1,2,(2)² (5 - 4√-67),1,-20 + 16√-67,20 - 16√-67
20.0,16.0,17552,0.946,0,0,1,2,(2)² (5 + 4√-67),0,20 + 16√-67,-20 - 16√-67
