Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
0,0,0,0,0,0,0,0,'(0),0,0,0,0,0,0,0
0.5,0.5,-1,1.047,0,0,0,0,,0,0.5 + 0.5√5,-0.5 - 0.5√5
-0.5,0.5,-1,2.094,0,2,0,0,,2,-0.5 + 0.5√5,0.5 - 0.5√5
1,0,1,0.0,0,4,0,0,,2,1,-1
1.5,0.5,1,0.524,0,6,0,0,,2,1.5 + 0.5√5,-1.5 - 0.5√5
-1.5,0.5,1,2.618,0,8,0,0,,2,-1.5 + 0.5√5,1.5 - 0.5√5
2.0,1.0,-1,0.714,0,10,0,0,,2,2 + √5,-2 - √5
-2.0,1.0,-1,2.428,0,12,0,0,,2,-2 + √5,2 - √5
3.5,1.5,1,0.639,0,14,0,0,,2,3.5 + 1.5√5,-3.5 - 1.5√5
-3.5,1.5,1,2.503,0,16,0,0,,2,-3.5 + 1.5√5,3.5 - 1.5√5
5.5,2.5,-1,0.667,0,18,0,0,,2,5.5 + 2.5√5,-5.5 - 2.5√5
-5.5,2.5,-1,2.475,0,20,0,0,,2,-5.5 + 2.5√5,5.5 - 2.5√5
9.0,4.0,1,0.656,0,22,0,0,,2,9 + 4√5,-9 - 4√5
-9.0,4.0,1,2.486,0,24,0,0,,2,-9 + 4√5,9 - 4√5
14.5,6.5,-1,0.66,0,26,0,0,,2,14.5 + 6.5√5,-14.5 - 6.5√5
-14.5,6.5,-1,2.481,0,28,0,0,,2,-14.5 + 6.5√5,14.5 - 6.5√5
23.5,10.5,1,0.659,0,30,0,0,,2,23.5 + 10.5√5,-23.5 - 10.5√5
-23.5,10.5,1,2.483,0,32,0,0,,2,-23.5 + 10.5√5,23.5 - 10.5√5
1.0,1.0,-4,1.047,1,0,0,0,'(1 + √5),2,1 + √5,-1 - √5,1 + √5
-1.0,1.0,-4,2.094,1,9,0,1,(1 + √5),2,-1 + √5,1 - √5,1 + √5
2,0,4,0.0,1,2,0,1,(1 + √5),2,2,-2,1 + √5
3.0,1.0,4,0.524,1,0,0,1,(1 + √5),2,3 + √5,-3 - √5,1 + √5
-3.0,1.0,4,2.618,1,13,0,1,(1 + √5),2,-3 + √5,3 - √5,1 + √5
4.0,2.0,-4,0.714,1,6,0,1,(1 + √5),2,4 + 2√5,-4 - 2√5,1 + √5
-4.0,2.0,-4,2.428,1,17,0,1,(1 + √5),2,-4 + 2√5,4 - 2√5,1 + √5
7.0,3.0,4,0.639,1,10,0,1,(1 + √5),2,7 + 3√5,-7 - 3√5,1 + √5
-7.0,3.0,4,2.503,1,21,0,1,(1 + √5),2,-7 + 3√5,7 - 3√5,1 + √5
11.0,5.0,-4,0.667,1,14,0,1,(1 + √5),2,11 + 5√5,-11 - 5√5,1 + √5
-11.0,5.0,-4,2.475,1,25,0,1,(1 + √5),2,-11 + 5√5,11 - 5√5,1 + √5
18.0,8.0,4,0.656,1,18,0,1,(1 + √5),2,18 + 8√5,-18 - 8√5,1 + √5
-18.0,8.0,4,2.486,1,29,0,1,(1 + √5),2,-18 + 8√5,18 - 8√5,1 + √5
29.0,13.0,-4,0.66,1,22,0,1,(1 + √5),2,29 + 13√5,-29 - 13√5,1 + √5
-29.0,13.0,-4,2.481,1,33,0,1,(1 + √5),2,-29 + 13√5,29 - 13√5,1 + √5
0.0,1.0,-5,1.571,1,0,0,0,'(√5),2,√5,-√5,√5
