Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-50.0,16.0,4292,2.636,0,0,1,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (1 + 2√-7) (3 + 2√-7),1,-50 + 16√-7,50 - 16√-7
50.0,16.0,4292,0.506,0,1,1,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (1 - 2√-7) (3 - 2√-7),0,50 + 16√-7,-50 - 16√-7
-49.0,16.0,4193,2.627,0,0,0,2,(√-7) (16 + 7√-7),1,-49 + 16√-7,49 - 16√-7
49.0,16.0,4193,0.515,0,0,0,2,(√-7) (16 - 7√-7),0,49 + 16√-7,-49 - 16√-7
-48.0,16.0,4096,2.618,0,0,11,2,(0.5 + 0.5√-7)⁷ (0.5 - 0.5√-7)⁵,1,-48 + 16√-7,48 - 16√-7
48.0,16.0,4096,0.524,0,1,11,2,(0.5 + 0.5√-7)⁵ (0.5 - 0.5√-7)⁷,0,48 + 16√-7,-48 - 16√-7
-49.5,15.5,4132,2.645,0,0,1,2,(0.5 - 0.5√-7)² (5 - 12√-7),1,-49.5 + 15.5√-7,49.5 - 15.5√-7
49.5,15.5,4132,0.497,0,1,1,2,(0.5 + 0.5√-7)² (5 + 12√-7),0,49.5 + 15.5√-7,-49.5 - 15.5√-7
-47.0,16.0,4001,2.609,1,0,0,1,'(47 - 16√-7),1,-47 + 16√-7,47 - 16√-7
47.0,16.0,4001,0.533,1,0,0,1,'(47 + 16√-7),0,47 + 16√-7,-47 - 16√-7
-48.5,15.5,4034,2.636,0,0,0,2,(0.5 + 0.5√-7) (15 + 16√-7),1,-48.5 + 15.5√-7,48.5 - 15.5√-7
48.5,15.5,4034,0.506,0,1,0,2,(0.5 - 0.5√-7) (15 - 16√-7),0,48.5 + 15.5√-7,-48.5 - 15.5√-7
-50.0,15.0,4075,2.663,0,1,0,2,(5) (10 - 3√-7),1,-50 + 15√-7,50 - 15√-7
50.0,15.0,4075,0.479,0,0,0,2,(5) (10 + 3√-7),0,50 + 15√-7,-50 - 15√-7
-49.0,15.0,3976,2.654,0,0,2,4,(0.5 + 0.5√-7)² (0.5 - 0.5√-7) (√-7) (8 - √-7),1,-49 + 15√-7,49 - 15√-7
49.0,15.0,3976,0.488,0,0,2,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7)² (√-7) (8 + √-7),0,49 + 15√-7,-49 - 15√-7
-46.0,16.0,3908,2.6,0,1,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (23 - 8√-7),1,-46 + 16√-7,46 - 16√-7
46.0,16.0,3908,0.542,0,0,1,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7) (23 + 8√-7),0,46 + 16√-7,-46 - 16√-7
-47.5,15.5,3938,2.628,0,1,0,3,(0.5 - 0.5√-7) (2 - √-7) (2 + 5√-7),1,-47.5 + 15.5√-7,47.5 - 15.5√-7
47.5,15.5,3938,0.514,0,0,0,3,(0.5 + 0.5√-7) (2 + √-7) (2 - 5√-7),0,47.5 + 15.5√-7,-47.5 - 15.5√-7
-46.5,15.5,3844,2.618,0,0,1,2,(0.5 + 0.5√-7)² (31),1,-46.5 + 15.5√-7,46.5 - 15.5√-7
46.5,15.5,3844,0.524,0,1,1,2,(0.5 - 0.5√-7)² (31),0,46.5 + 15.5√-7,-46.5 - 15.5√-7
-48.0,15.0,3879,2.646,0,1,0,2,(3) (16 - 5√-7),1,-48 + 15√-7,48 - 15√-7
48.0,15.0,3879,0.496,0,0,0,2,(3) (16 + 5√-7),0,48 + 15√-7,-48 - 15√-7
-49.5,14.5,3922,2.672,0,1,0,3,(0.5 + 0.5√-7) (3 - 2√-7) (5 - 2√-7),1,-49.5 + 14.5√-7,49.5 - 14.5√-7
49.5,14.5,3922,0.47,0,0,0,3,(0.5 - 0.5√-7) (3 + 2√-7) (5 + 2√-7),0,49.5 + 14.5√-7,-49.5 - 14.5√-7
